1 1   0.000000000000000e+00
2 1   1.000000000000000e+00
3 1   1.000000000000000e+00
4 1   9.999869409755173e-01
5 1   9.999784327599740e-01
6 1   9.999716920485774e-01
7 1   9.999658674954837e-01
8 1   9.999606187506461e-01
9 1   9.999557652072745e-01
10 1   9.999512337140181e-01
11 1   9.999469523598774e-01
12 1   9.999428854998761e-01
13 1   9.999389854745000e-01
14 1   9.999352187060758e-01
15 1   9.999315556733750e-01
16 1   9.999278567255419e-01
17 1   9.999243443994132e-01
18 1   9.999210259726596e-01
19 1   9.999141972115292e-01
20 1   9.999050097542446e-01
21 1   9.998937420167944e-01
22 1   9.998803874331107e-01
23 1   9.998648027841949e-01
24 1   9.998469383523575e-01
25 1   9.998268174862704e-01
26 1   1.000000000000000e+00
27 1   9.999761530181731e-01
28 1   9.999510870733685e-01
29 1   9.999252980263232e-01
30 1   9.998993212637994e-01
31 1   9.998739086694783e-01
32 1   9.998496830667943e-01
33 1   9.998270321708024e-01
34 1   9.998063448512816e-01
35 1   9.997880735038736e-01
36 1   9.997722846481963e-01
37 1   9.997590053183345e-01
38 1   9.997481895201118e-01
39 1   9.997389172846260e-01
40 1   9.997302518133275e-01
41 1   9.997219202104349e-01
42 1   9.997138345679043e-01
43 1   9.997059571620687e-01
44 1   9.996983020095487e-01
45 1   9.996908386547916e-01
46 1   9.996835892608285e-01
47 1   9.996765449153875e-01
48 1   9.996697112427400e-01
49 1   9.996630912250076e-01
50 1   9.996561500326515e-01
51 1   9.996501211333303e-01
52 1   9.996445497518561e-01
53 1   9.996392753244588e-01
54 1   9.996342266833725e-01
55 1   9.996293768181483e-01
56 1   9.996247138173436e-01
57 1   9.996202132817170e-01
58 1   9.996158739083719e-01
59 1   9.996116887064083e-01
60 1   9.996076368645153e-01
61 1   9.996037142259093e-01
62 1   9.995999153708442e-01
63 1   9.995962389889737e-01
64 1   9.995922545227690e-01
65 1   9.995873085074216e-01
66 1   9.995809811754084e-01
67 1   9.995730017798204e-01
68 1   9.995685791845369e-01
69 1   9.995578213431998e-01
70 1   9.995428061494737e-01
71 1   9.995242150075596e-01
72 1   9.995020240773517e-01
73 1   9.994996870387273e-01
74 1   9.994946334525772e-01
75 1   9.994656741793981e-01
76 1   9.994310453615989e-01
77 1   9.993935550545315e-01
78 1   9.993551494885460e-01
79 1   9.993175128821009e-01
80 1   9.992817926622009e-01
81 1   9.992490368671599e-01
82 1   9.992197770494178e-01
83 1   9.991941641644958e-01
84 1   9.991724948883850e-01
85 1   9.991553439501136e-01
86 1   9.991426547190757e-01
87 1   9.991330695971237e-01
88 1   9.991250035126755e-01
89 1   9.991178551807668e-01
90 1   9.991113187391252e-01
91 1   9.991052087837839e-01
92 1   9.990993686773421e-01
93 1   9.990937722907197e-01
94 1   9.990883995082555e-01
95 1   9.990832239096717e-01
96 1   9.990782625054191e-01
97 1   9.990735127184278e-01
98 1   9.990684617810495e-01
99 1   9.990633074906879e-01
100 1   9.990581362472393e-01
101 1   9.990529901788145e-01
102 1   9.990478881988699e-01
103 1   9.990428583978670e-01
104 1   9.990379262544938e-01
105 1   9.990331083948347e-01
106 1   9.990283990318787e-01
107 1   9.990238013217234e-01
108 1   9.990193249342785e-01
109 1   9.990149773025342e-01
110 1   9.990107635057747e-01
111 1   9.990067051309957e-01
112 1   9.990020852638167e-01
113 1   9.989957615991621e-01
114 1   9.989870303781409e-01
115 1   9.989753394935269e-01
116 1   9.989601900722086e-01
117 1   9.989411242320274e-01
118 1   9.989179435385834e-01
119 1   9.988908702565560e-01
120 1   9.988595287393962e-01
121 1   9.988236635240789e-01
122 1   9.987833528841032e-01
123 1   9.987394109762341e-01
124 1   9.987008745310531e-01
125 1   9.986629712181969e-01
126 1   9.986252856718238e-01
127 1   9.985884036460484e-01
128 1   9.985541872919285e-01
129 1   9.985238802436868e-01
130 1   9.984980778141014e-01
131 1   9.984767517407769e-01
132 1   9.984595945082547e-01
133 1   9.984460132996636e-01
134 1   9.984350159673918e-01
135 1   9.984262953621421e-01
136 1   9.984191680974711e-01
137 1   9.984132295114259e-01
138 1   9.984081350384909e-01
139 1   9.984035995201122e-01
140 1   9.983993712904770e-01
141 1   9.983954508646051e-01
142 1   9.983918628441951e-01
143 1   9.983886923886091e-01
144 1   9.983859617075226e-01
145 1   9.983835782671869e-01
146 1   9.983806343250714e-01
147 1   9.983778502802603e-01
148 1   9.983751012384836e-01
149 1   9.983722114392485e-01
150 1   9.983691174680649e-01
151 1   9.983658755938931e-01
152 1   9.983625917030605e-01
153 1   9.983593574337092e-01
154 1   9.983562098581532e-01
155 1   9.983531119104770e-01
156 1   9.983499953052780e-01
157 1   9.983467782252184e-01
158 1   9.983431389051211e-01
159 1   9.983386134861623e-01
160 1   9.983321827206192e-01
161 1   9.983233041628653e-01
162 1   9.983113351870411e-01
163 1   9.982957690007719e-01
164 1   9.982762646051503e-01
165 1   9.982542969218942e-01
166 1   9.982290979057761e-01
167 1   9.982003614259896e-01
168 1   9.981681444787549e-01
169 1   9.981326489320140e-01
170 1   9.980943788364731e-01
171 1   9.980490885110667e-01
172 1   9.980002144089467e-01
173 1   9.979496035864407e-01
174 1   9.978987554973979e-01
175 1   9.978492472456127e-01
176 1   9.978025498084683e-01
177 1   9.977596747496988e-01
178 1   9.977213332754897e-01
179 1   9.976880351647982e-01
180 1   9.976601361298796e-01
181 1   9.976377745198685e-01
182 1   9.976209801038207e-01
183 1   9.976083943178297e-01
184 1   9.975976896528390e-01
185 1   9.975879977594204e-01
186 1   9.975789215628798e-01
187 1   9.975703205438987e-01
188 1   9.975621006022762e-01
189 1   9.975541856898669e-01
190 1   9.975464456449890e-01
191 1   9.975388550354798e-01
192 1   9.975314005183321e-01
193 1   9.975240293050205e-01
194 1   9.975158897040407e-01
195 1   9.975078508872666e-01
196 1   9.974999184130435e-01
197 1   9.974920846789259e-01
198 1   9.974843697341962e-01
199 1   9.974767919769736e-01
200 1   9.974693479858804e-01
201 1   9.974620364307782e-01
202 1   9.974548723137463e-01
203 1   9.974478686969936e-01
204 1   9.974410370191582e-01
205 1   9.974343794285591e-01
206 1   9.974278920368003e-01
207 1   9.974216108944516e-01
208 1   9.974141231894441e-01
209 1   9.974035316623928e-01
210 1   9.973887468426967e-01
211 1   9.973694496006578e-01
212 1   9.973455158237540e-01
213 1   9.973165735960585e-01
214 1   9.972817236778481e-01
215 1   9.972411281551911e-01
216 1   9.971945187486392e-01
217 1   9.971416828819312e-01
218 1   9.970828202992204e-01
219 1   9.970192007599963e-01
220 1   9.969631145520845e-01
221 1   9.969068700434645e-01
222 1   9.968502964692595e-01
223 1   9.967939334137835e-01
224 1   9.967425307347578e-01
225 1   9.966973334899762e-01
226 1   9.966594648855717e-01
227 1   9.966289133611572e-01
228 1   9.966045191776525e-01
229 1   9.965864803836763e-01
230 1   9.965720660509502e-01
231 1   9.965602184047118e-01
232 1   9.965505658186821e-01
233 1   9.965427962456012e-01
234 1   9.965359997562452e-01
235 1   9.965295943213325e-01
236 1   9.965233019344902e-01
237 1   9.965169390439760e-01
238 1   9.965113444825705e-01
239 1   9.965067991228499e-01
240 1   9.965030703794346e-01
241 1   9.964998668960537e-01
242 1   9.964929284324687e-01
243 1   9.964854155778009e-01
244 1   9.964778947018135e-01
245 1   9.964700770813092e-01
246 1   9.964619900730257e-01
247 1   9.964534654710837e-01
248 1   9.964450347651191e-01
249 1   9.964368836288823e-01
250 1   9.964290718451396e-01
251 1   9.964213202960570e-01
252 1   9.964129805284487e-01
253 1   9.964040085129195e-01
254 1   9.963945397666470e-01
255 1   9.963850075121212e-01
256 1   9.963709590552041e-01
257 1   9.963507120917080e-01
258 1   9.963217951794470e-01
259 1   9.962834505332857e-01
260 1   9.962358126242452e-01
261 1   9.961789787607001e-01
262 1   9.961136297492141e-01
263 1   9.960397073392611e-01
264 1   9.959576793853385e-01
265 1   9.958669953833869e-01
266 1   9.957699475594560e-01
267 1   9.956666097282932e-01
268 1   9.955605965147021e-01
269 1   9.954527079415508e-01
270 1   9.953453678184597e-01
271 1   9.952395556602527e-01
272 1   9.951401850493139e-01
273 1   9.950480163275565e-01
274 1   9.949639862015358e-01
275 1   9.948892565337909e-01
276 1   9.948243502226649e-01
277 1   9.947709045469915e-01
278 1   9.947255549338659e-01
279 1   9.946886936012387e-01
280 1   9.946577799266474e-01
281 1   9.946299421041933e-01
282 1   9.946042880983212e-01
283 1   9.945801460743711e-01
284 1   9.945575667733344e-01
285 1   9.945363425622563e-01
286 1   9.945159889137758e-01
287 1   9.944965664174803e-01
288 1   9.944780787070314e-01
289 1   9.944602555093778e-01
290 1   9.944432323867579e-01
291 1   9.944255008510877e-01
292 1   9.944074921997488e-01
293 1   9.943890162288193e-01
