1 1   0.000000000000000e+00
2 1   0.000000000000000e+00
3 1   1.042348911671372e+00
4 1   6.631932067744015e-01
5 1   4.787694122202932e-01
6 1   3.956307082691579e-01
7 1   3.476300593693263e-01
8 1   3.155259897507693e-01
9 1   2.910215271586677e-01
10 1   2.720346028331312e-01
11 1   2.558577566379637e-01
12 1   2.441386477060563e-01
13 1   2.339503381826238e-01
14 1   2.251262594163203e-01
15 1   2.182866579816587e-01
16 1   2.152981187934411e-01
17 1   2.045821741460821e-01
18 1   1.935569849143401e-01
19 1   2.778937594959429e-01
20 1   3.419112002851827e-01
21 1   4.010107469308932e-01
22 1   4.610240976334069e-01
23 1   5.241360054727583e-01
24 1   5.911717825056424e-01
25 1   6.591133385827226e-01
26 1   1.760144041430157e+00
27 1   2.882344054734654e+00
28 1   2.757765980505203e+00
29 1   2.574462070095849e+00
30 1   8.940944250312931e-01
31 1   8.904052459404845e-01
32 1   8.643931204342915e-01
33 1   8.195327243118190e-01
34 1   7.607111171875227e-01
35 1   6.951136902138914e-01
36 1   6.232595257239543e-01
37 1   5.478566671458170e-01
38 1   4.718469657204729e-01
39 1   4.199903669800397e-01
40 1   3.953671556664659e-01
41 1   3.815768238514635e-01
42 1   3.713175608449569e-01
43 1   3.621583207771003e-01
44 1   3.543619310805421e-01
45 1   3.457994736288853e-01
46 1   3.378140503205447e-01
47 1   3.294381017052669e-01
48 1   3.206594603744620e-01
49 1   3.123226391584575e-01
50 1   3.252149997178299e-01
51 1   2.986227821853169e-01
52 1   2.821565989299020e-01
53 1   2.699031050405620e-01
54 1   2.596962031037356e-01
55 1   2.506041172204220e-01
56 1   2.415665522859513e-01
57 1   2.338711116399870e-01
58 1   2.261748177348237e-01
59 1   2.185684745041933e-01
60 1   2.118450317927630e-01
61 1   2.054486061233774e-01
62 1   1.992613575858829e-01
63 1   1.930719605414453e-01
64 1   1.978073223467504e-01
65 1   2.195057313783626e-01
66 1   2.522989798947514e-01
67 1   2.926173873193375e-01
68 1   1.974118203787480e-01
69 1   3.358118794157466e-01
70 1   4.451649163138513e-01
71 1   5.421125915251813e-01
72 1   6.384220067776121e-01
73 1   7.336922158529419e-01
74 1   9.455170117451511e-01
75 1   1.041802504812486e+00
76 1   1.008201844934195e+00
77 1   1.096990653180499e+00
78 1   1.147366297680079e+00
79 1   1.155483782904176e+00
80 1   1.127840643167659e+00
81 1   1.067285282689050e+00
82 1   9.860927370208410e-01
83 1   8.939894617614041e-01
84 1   7.836719014790874e-01
85 1   6.541492962865890e-01
86 1   5.259523177773235e-01
87 1   4.313568985815869e-01
88 1   3.799724454294667e-01
89 1   3.488913608139494e-01
90 1   3.278341249735293e-01
91 1   3.133628572315642e-01
92 1   3.027519810610577e-01
93 1   2.937218091132719e-01
94 1   2.866454790618480e-01
95 1   2.806611272773060e-01
96 1   2.748743894741279e-01
97 1   2.693367838306774e-01
98 1   2.860874756030139e-01
99 1   2.853934811287084e-01
100 1   2.822171712926237e-01
101 1   2.775405301680796e-01
102 1   2.725711629284897e-01
103 1   2.666120600000421e-01
104 1   2.602181249994604e-01
105 1   2.535532572746842e-01
106 1   2.474783631093155e-01
107 1   2.411632424778954e-01
108 1   2.348460365019854e-01
109 1   2.285783224104714e-01
110 1   2.222606241580151e-01
111 1   2.154310702378598e-01
112 1   2.253655275279905e-01
113 1   2.609300670434800e-01
114 1   3.145448334518352e-01
115 1   3.820047593196514e-01
116 1   4.627421855930351e-01
117 1   5.554894976438853e-01
118 1   6.592715291063750e-01
119 1   7.757112569809950e-01
120 1   8.828765631017521e-01
121 1   9.935533566228469e-01
122 1   1.108240588353666e+00
123 1   1.210122652378855e+00
124 1   1.115244347127645e+00
125 1   1.102486381970037e+00
126 1   1.107255366660127e+00
127 1   1.103934356238010e+00
128 1   1.052287781313460e+00
129 1   9.660013165853710e-01
130 1   8.558639985523495e-01
131 1   7.375362736813456e-01
132 1   6.226200414102778e-01
133 1   5.202068547832023e-01
134 1   4.395910570562169e-01
135 1   3.708922848925756e-01
136 1   3.223212626757801e-01
137 1   2.882460281190753e-01
138 1   2.632066085704825e-01
139 1   2.490598135680203e-01
140 1   2.401180772088498e-01
141 1   2.324870104028774e-01
142 1   2.256231460655017e-01
143 1   2.168697404094636e-01
144 1   2.076082656612388e-01
145 1   2.022998651588677e-01
146 1   2.320127702679313e-01
147 1   2.272811899842410e-01
148 1   2.259973223103849e-01
149 1   2.264181762198558e-01
150 1   2.268764168256240e-01
151 1   2.259397774531660e-01
152 1   2.238714405569254e-01
153 1   2.200689441966153e-01
154 1   2.153162854524469e-01
155 1   2.103353597194427e-01
156 1   2.067583996054600e-01
157 1   2.056910297874275e-01
158 1   2.130732410028260e-01
159 1   2.320348641213216e-01
160 1   2.743790439597606e-01
161 1   3.266644387340287e-01
162 1   3.953023169012064e-01
163 1   4.764224251745795e-01
164 1   5.686660845465137e-01
165 1   6.497748653949007e-01
166 1   7.338150036519437e-01
167 1   8.180151991046450e-01
168 1   9.020555231876711e-01
169 1   9.842657886359873e-01
170 1   1.057962737979006e+00
171 1   1.231391686137981e+00
172 1   1.347051892840244e+00
173 1   1.421943228596958e+00
174 1   1.464475170587219e+00
175 1   1.464773295228866e+00
176 1   1.418222238121384e+00
177 1   1.339483362260947e+00
178 1   1.232747656325533e+00
179 1   1.105481334717822e+00
180 1   9.637691110570515e-01
181 1   8.124199074600894e-01
182 1   6.554137991227488e-01
183 1   5.296687496358423e-01
184 1   4.662798300016832e-01
185 1   4.298494612342826e-01
186 1   4.086948502565102e-01
187 1   3.947443465323653e-01
188 1   3.826189878258899e-01
189 1   3.733046444511366e-01
190 1   3.659029730777938e-01
191 1   3.621320738594526e-01
192 1   3.594519924121914e-01
193 1   3.568899058310515e-01
194 1   3.902001214191296e-01
195 1   3.888358479087892e-01
196 1   3.862180782730574e-01
197 1   3.825109237723178e-01
198 1   3.781150576957093e-01
199 1   3.741631093033629e-01
200 1   3.693047383115053e-01
201 1   3.636243974948697e-01
202 1   3.572224124580033e-01
203 1   3.506004182293392e-01
204 1   3.441080765292930e-01
205 1   3.370251289997410e-01
206 1   3.294012616948102e-01
207 1   3.200124201903525e-01
208 1   3.416813023636355e-01
209 1   4.066602934652809e-01
210 1   4.993540623692709e-01
211 1   6.156295170312663e-01
212 1   7.315553583717341e-01
213 1   8.522831406582159e-01
214 1   9.923012493409903e-01
215 1   1.133453619328979e+00
216 1   1.284547300244763e+00
217 1   1.439999522699853e+00
218 1   1.598137532593922e+00
219 1   1.736005592385504e+00
220 1   1.605782486568901e+00
221 1   1.620446234972124e+00
222 1   1.641918308527834e+00
223 1   1.651778423576125e+00
224 1   1.557559352190040e+00
225 1   1.420964632565089e+00
226 1   1.244423923065612e+00
227 1   1.053593669658362e+00
228 1   8.795474508716338e-01
229 1   6.970834017103740e-01
230 1   5.865192169512097e-01
231 1   5.081103825001452e-01
232 1   4.419458378875582e-01
233 1   3.910224710656336e-01
234 1   3.655551308819985e-01
235 1   3.571004819952868e-01
236 1   3.592468905560972e-01
237 1   3.644782878337242e-01
238 1   3.465497872705844e-01
239 1   3.204930289214177e-01
240 1   3.014872220341812e-01
241 1   2.895756621769182e-01
242 1   4.598912230862008e-01
243 1   4.780006188133037e-01
244 1   4.714731398440311e-01
245 1   4.689021876859891e-01
246 1   4.647711967204583e-01
247 1   4.683127507781426e-01
248 1   4.585069537699160e-01
249 1   4.464877743932938e-01
250 1   4.331171733449168e-01
251 1   4.319052683137352e-01
252 1   4.475677377721353e-01
253 1   4.584126113249459e-01
254 1   4.651098756909317e-01
255 1   4.523514080676013e-01
256 1   5.533963774620360e-01
257 1   6.916507019900783e-01
258 1   8.680748139555462e-01
259 1   1.113839395136243e+00
260 1   1.391455064604195e+00
261 1   1.670233318190817e+00
262 1   1.935047306937950e+00
263 1   2.201755407478704e+00
264 1   2.446928881589291e+00
265 1   2.701594731517293e+00
266 1   2.906954529602592e+00
267 1   3.112105515591291e+00
268 1   3.240519832084716e+00
269 1   3.346935738459321e+00
270 1   3.380327717371902e+00
271 1   3.375822487483581e+00
272 1   3.257245702495803e+00
273 1   3.115209253915809e+00
274 1   2.923767117322696e+00
275 1   2.675017150989270e+00
276 1   2.390560291472994e+00
277 1   2.051140619950381e+00
278 1   1.800752132000345e+00
279 1   1.518699319796246e+00
280 1   1.307058437188095e+00
281 1   1.199532177052786e+00
282 1   1.118316829354600e+00
283 1   1.061545313792944e+00
284 1   1.005575834147579e+00
285 1   9.599201060893117e-01
286 1   9.274937436005590e-01
287 1   8.905598198781531e-01
288 1   8.540275850734788e-01
289 1   8.315673500926620e-01
290 1   8.071444825802520e-01
291 1   8.309989637242029e-01
292 1   8.424094052868051e-01
293 1   8.637794100252467e-01
294 1   8.886550779688245e-01
295 1   9.329776027124537e-01
296 1   9.739570157279974e-01
